title,image,price,ordered,image_path,gender,material,product_type,sleeve_or_neck,color,size,style_category_x,seasonality_x,price_tier,fit,fabric_finish,pattern,details,primary_color,secondary_color,is_multicolor,image_path_cleaned,product_id,style_category_y,formality_level,color_brightness,pattern_complexity,seasonality_y,perceived_quality,trend_alignment,target_age_group,gender_presentation,visual_uniqueness,estimated_purchase_appeal
Athleisure Stretch Polo Shirt Sets Green / M,http://t2.gstatic.com/shopping?q=tbn:ANd9GcSiqmD5nTA1Bjda-IJIoeryl139DbY0brnXYJwS2lgdid6R6Sx4MH1lVQCdng,45.66,1,image_17,unknown,unknown,Polo & Shorts Set,unknown,Green,M,Casual,All-Season,Mid-range,Standard,Stretch,Solid,,Green,,False,image\image_17,image_17,casual_resort_shirt,3.0,3.0,1.0,all_season,4.0,4.0,young_adult,masculine,3.0,4.0
100% Cotton Henley Shirt and Shorts Set Coffee / L,http://t1.gstatic.com/shopping?q=tbn:ANd9GcSJpJ1G0CABUwGjDGh6qiJu-_7-bVTlFBHRof7NTorTxsVSn2iGbFRAA7Tk8w,54.04,0,image_18,unknown,Cotton,Shirt & Shorts Set,unknown,Coffee,L,Casual,Summer,Mid-range,Standard,,Solid,Henley,Coffee,,False,image\image_18,image_18,casual_resort_shirt,3.0,3.0,2.0,all_season,4.0,4.0,young_adult,masculine,3.0,4.0
Men's Summer Linen Shirt Pink / M,http://t0.gstatic.com/shopping?q=tbn:ANd9GcSyUFrJzptosNTRpGvkUaO0M2mO5SDUVWV6jK-_xmx8A7eXe2SCi-daI9VrF-M,36.09,0,image_19,Men,Linen,Shirt,unknown,Pink,M,Casual,Summer,Mid-range,Standard,,Solid,,Pink,,False,image\image_19,image_19,smart_casual_shirt,4.0,4.0,1.0,spring_summer,4.0,3.0,young_adult,masculine,2.0,4.0
Men's Linen Resort Casual Button-Down Everyday Short Sleeve Shirt Khaki / L,http://t3.gstatic.com/shopping?q=tbn:ANd9GcSizeDw52NkGVAMaMUGT6U818Nb3uPqBAT97ZHVtriYqdpCLH7psFCIqx6DmA,33.26,0,image_20,Men,Linen,Shirt,Short Sleeve,Khaki,L,Casual,Summer,Mid-range,Standard,,Solid,Button-Down,Khaki,,False,image\image_20,image_20,smart_casual_shirt,4.0,4.0,1.0,autumn_winter,4.0,3.0,young_adult,masculine,2.0,4.0
Men's Premium Washed Cotton Pocket Shirt Pink / L,http://t0.gstatic.com/shopping?q=tbn:ANd9GcT3f_lhsyaPXJgRIpkDfHoA4zsT981rm0zr3703RVDimjx3v-RyvkBdE2WcuA,61.87,1,image_21,Men,Cotton,Shirt,unknown,Pink,L,Casual,All-Season,Premium,Standard,Washed,Solid,Pocket,Pink,,False,image\image_21,image_21,smart_casual_shirt,4.0,4.0,1.0,spring_summer,4.0,3.0,young_adult,masculine,2.0,4.0
Classic Wrinkle-Free Dress Shirt (US Only) Black / L,http://t0.gstatic.com/shopping?q=tbn:ANd9GcQno57gdyGfM2hC0R19hwj4hdWtRJdqfQ64Zl8ypd1gl0JmPZYq1dX30xEFKg,29.45,1,image_22,unknown,unknown,Shirt,unknown,Black,L,Vintage,All-Season,Budget,Standard,,Solid,,Black,,False,image\image_22,image_22,casual_shirt,4.0,3.0,1.0,autumn_winter,4.0,3.0,young_adult,masculine,2.0,4.0
Long Sleeve Button Down Flannel Shirt (US Only) Army Green / L,http://t2.gstatic.com/shopping?q=tbn:ANd9GcTnO60_gzQLDyAOl1imnp8uRYv7UL8fbMkHlgnY5LvUBXLopTHrRwXXNzTpAA,29.46,0,image_23,unknown,Flannel,Shirt,Long Sleeve,Army Green,L,Casual,Winter,Budget,Standard,,Solid,,Army Green,,False,image\image_23,image_23,casual_resort_shirt,3.0,3.0,1.0,all_season,4.0,4.0,young_adult,masculine,3.0,4.0
Men's Linen Long Sleeve Shirts Blue / 5XL,http://t1.gstatic.com/shopping?q=tbn:ANd9GcSzLQy6QflQ-h3wYkfQYIbv9M4htavjIbwa4t_L00JSlIHp8wQp-syUzTkco2U,35.21,1,image_24,Men,Linen,Shirt,Long Sleeve,Blue,5XL,Casual,Summer,Mid-range,Standard,,Solid,,Blue,,False,image\image_24,image_24,casual_resort_shirt,3.0,3.0,1.0,all_season,4.0,4.0,young_adult,masculine,3.0,4.0
Essential Muscle Fit Dress Shirt Burgundy / XL,http://t3.gstatic.com/shopping?q=tbn:ANd9GcSVn6lHKrYmIk_eAlguMgkg32mdpD_BbR4BubJLKk12VikiM4uz1_Lldm-JQE0,63.24,1,image_25,unknown,unknown,Shirt,unknown,Burgundy,XL,Casual,All-Season,Premium,Muscle,,Solid,,Burgundy,,False,image\image_25,image_25,casual_shirt,3.0,2.0,1.0,all_season,3.0,3.0,young_adult,masculine,2.0,3.0
Long Sleeve Button Down Flannel Shirt (US Only) Black / L,http://t0.gstatic.com/shopping?q=tbn:ANd9GcSvp58A8RD_nLqoh7EzpL1z4-Cko0YWjsXf_Uo9HtSPdOihOO3x5YpvFjXUWQ,29.3,1,image_26,unknown,Flannel,Shirt,Long Sleeve,Black,L,Casual,Winter,Budget,Standard,,Solid,,Black,,False,image\image_26,image_26,smart_casual_shirt,4.0,3.0,1.0,autumn_winter,4.0,3.0,young_adult,masculine,2.0,4.0
Casual Loose Fit Shirt Sets (US Only) Khaki / XXL,http://t3.gstatic.com/shopping?q=tbn:ANd9GcRtB1pu07-9FmiIDQPw_Q5iyw-fvlMYkK8kaz7P1Cu9qW7RcyBSVKXm2H_k,50.7,1,image_27,unknown,unknown,Shirt & Shorts Set,unknown,Khaki,XXL,Casual,All-Season,Mid-range,Loose,,Solid,,Khaki,,False,image\image_27,image_27,casual_resort_shirt,3.0,3.0,2.0,all_season,4.0,4.0,young_adult,masculine,4.0,4.0
Casual Linen Skin-friendly Shirts (US Only) Dark Grey / L,http://t2.gstatic.com/shopping?q=tbn:ANd9GcRwc4dWA5q4VUD1dNjqkd9fxlx1umr4W22VCNjVvo5VpKgvCF5RdkqyHjEWZG07YU3bpXy3980,34.54,0,image_28,unknown,Linen,Shirt,unknown,Dark Grey,L,Casual,Summer,Mid-range,Standard,,Solid,,Dark Grey,,False,image\image_28,image_28,smart_casual_shirt,3.0,3.0,1.0,all_season,4.0,3.0,young_adult,masculine,2.0,4.0
Short Sleeve Collarless Golf Polo Shirts (US Only) Red / M,http://t1.gstatic.com/shopping?q=tbn:ANd9GcS_1qVn_pJHFv-f2_yzjhUuxv0AFlUyFpTblJy5ZQWcLFpaRTKe7H6J_Gt0jQ,27.87,1,image_29,unknown,unknown,Polo,Short Sleeve,Red,M,Casual,Summer,Budget,Standard,,Solid,Collar,Red,,False,image\image_29,image_29,casual_resort_shirt,2.0,3.0,1.0,all_season,3.0,4.0,young_adult,masculine,3.0,3.0
Casual Loose Fit Shirt Sets (US Only) Dark Green / L,http://t1.gstatic.com/shopping?q=tbn:ANd9GcTE2dENGxAAaVCfPm_JkIyVsgwIdT-tv0fzQ7LknXgp3eCIhSESg35lU_uq,54.95,0,image_30,unknown,unknown,Shirt & Shorts Set,unknown,Dark Green,L,Casual,All-Season,Mid-range,Loose,,Solid,,Dark Green,,False,image\image_30,image_30,casual_resort_shirt,3.0,3.0,2.0,all_season,4.0,4.0,young_adult,masculine,4.0,4.0
Leisure Textured Shirt Set Red / M,http://t2.gstatic.com/shopping?q=tbn:ANd9GcQ7Bb_SHETti130smKmouZgSxK18jWQmDEXHdKmlxArskVh6tfdb7_Zq9TNQQ,45.2,1,image_31,unknown,unknown,Shirt & Shorts Set,unknown,Red,M,Casual,All-Season,Mid-range,Standard,Textured,Solid,,Red,,False,image\image_31,image_31,casual_shirt,2.0,2.0,2.0,all_season,3.0,3.0,young_adult,masculine,3.0,3.0
Men's Ice Silk Shirt Thin Breathable Shirt White / 4XL,http://t0.gstatic.com/shopping?q=tbn:ANd9GcS-1C-cShD8O75mXhycil5FDlbXm_J7G_cgQklI4mNjAuFvADLFtpZ32CrVVKQ,34.01,1,image_32,Men,Silk,Shirt,unknown,White,4XL,Casual,All-Season,Mid-range,Standard,Breathable/Thin,Solid,,White,,False,image\image_32,image_32,smart_casual_shirt,4.0,4.0,1.0,autumn_winter,4.0,3.0,young_adult,masculine,2.0,4.0
Long Sleeve Button Down Flannel Shirt (US Only) Wine Red / L,http://t1.gstatic.com/shopping?q=tbn:ANd9GcSHK-TuPEpHF_PCuRxCAA7PsJCAsFTBvjodgWoy3uuDaciYV2up4R7-dwIDaA,29.79,0,image_33,unknown,Flannel,Shirt,Long Sleeve,Wine Red,L,Casual,Winter,Budget,Standard,,Solid,,Wine Red,,False,image\image_33,image_33,casual_resort_shirt,2.0,3.0,1.0,all_season,3.0,4.0,young_adult,masculine,3.0,3.0
Trendy Breathable T-shirt Set White / XXXL,http://t1.gstatic.com/shopping?q=tbn:ANd9GcQohm2zptg73DELPCTfpwD95hFaJMC0H0ONe3HDEBQ7nDBmNXNyCs6Xeq9baA,47.21,0,image_34,unknown,unknown,T-Shirt & Shorts Set,unknown,White,XXXL,Casual,All-Season,Mid-range,Standard,Breathable/Thin,Solid,,White,,False,image\image_34,image_34,casual_shirt,4.0,4.0,1.0,autumn_winter,4.0,3.0,young_adult,masculine,2.0,4.0
Casual Loose Fit Shirt Sets (US Only) Pink / L,http://t1.gstatic.com/shopping?q=tbn:ANd9GcTLrdCXN_wq82v0MjNtWiuLFC454E9o-OeeAAfQW5Nr7WAiN1GRs63r27D6,52.66,0,image_35,unknown,unknown,Shirt & Shorts Set,unknown,Pink,L,Casual,All-Season,Mid-range,Loose,,Solid,,Pink,,False,image\image_35,image_35,casual_resort_shirt,3.0,3.0,2.0,all_season,4.0,4.0,young_adult,masculine,4.0,4.0
Essential Muscle Fit Dress Shirt White / M,http://t3.gstatic.com/shopping?q=tbn:ANd9GcRK2EJOR11sOJdm7Qh49IQ2Qikf3nJ0LQ1VzARGOQwkfg2ab7IUI29wnpsqKA,67.79,1,image_36,unknown,unknown,Shirt,unknown,White,M,Casual,All-Season,Premium,Muscle,,Solid,,White,,False,image\image_36,image_36,smart_casual_shirt,4.0,3.0,1.0,autumn_winter,4.0,3.0,young_adult,masculine,2.0,4.0
Men's Vintage Linen Long Sleeve Shirt Navy Blue / L,http://t0.gstatic.com/shopping?q=tbn:ANd9GcSmAlVmLvX00waHlFFFcZqGZN_ZWn69yFUF9QpgM7wxmyBWO-eycVWOmmKkFA,41.68,0,image_37,Men,Linen,Shirt,Long Sleeve,Navy Blue,L,Vintage,Summer,Mid-range,Standard,,Solid,,Navy Blue,,False,image\image_37,image_37,casual_resort_shirt,3.0,3.0,1.0,all_season,4.0,4.0,young_adult,masculine,3.0,4.0
Cotton Hooded Shirt Shorts Sets Blue / L,http://t3.gstatic.com/shopping?q=tbn:ANd9GcQEPlIN2K9X5Xq1lpN7dp50o5DM5P7KZf_QeIILnT49aKfI0krWN5c25v0b2w,51.41,0,image_38,unknown,Cotton,Shirt & Shorts Set,unknown,Blue,L,Casual,Summer,Mid-range,Standard,,Solid,,Blue,,False,image\image_38,image_38,casual_resort_shirt,2.0,3.0,2.0,all_season,4.0,4.0,young_adult,masculine,4.0,4.0
Casual Loose Fit Pure Cotton Sports T-shirt/ Sports Shorts Shorts-Light Grey / 4XL,http://t1.gstatic.com/shopping?q=tbn:ANd9GcSes7fZWSqRnaNesNaXI625C_I1mEwDs1vYxAUM5jmf1Z-nOMc7uDzjOgwAdg,32.7,0,image_39,unknown,Cotton,T-Shirt & Shorts Set,unknown,Light Grey,4XL,Casual,Summer,Mid-range,Loose,,Solid,,Light Grey,,False,image\image_39,image_39,smart_casual_shirt,4.0,3.0,1.0,autumn_winter,4.0,3.0,young_adult,masculine,2.0,4.0
Men's Business Casual Checkered Colorblock Short Sleeve Shirts Dark Blue / M,http://t3.gstatic.com/shopping?q=tbn:ANd9GcRLTzgPwhaHNqXhwiLgnA7w6YKgclNGu1s1USMmLqPlChRCvbcO96IBYausL7M,29.97,0,image_40,Men,unknown,Shirt,Short Sleeve,Blue,M,Formal,Summer,Budget,Standard,,Checked,,Blue,,False,image\image_40,image_40,casual_resort_shirt,3.0,3.0,1.0,all_season,4.0,4.0,young_adult,masculine,3.0,4.0
Men's Linen Resort Casual Button-Down Everyday Short Sleeve Shirt Green / M,http://t3.gstatic.com/shopping?q=tbn:ANd9GcSCFhVEGv1pRBBqNIdK7XNzwZAzsIC0Kf__114UgKmRJD0j87mqzg0M0E3zAw,33.07,0,image_41,Men,Linen,Shirt,Short Sleeve,Green,M,Casual,Summer,Mid-range,Standard,,Solid,Button-Down,Green,,False,image\image_41,image_41,smart_casual_shirt,4.0,4.0,1.0,autumn_winter,4.0,3.0,young_adult,masculine,2.0,4.0
Casual Wrinkle Free Stretch Shirt (US Only) Blue / L,http://t2.gstatic.com/shopping?q=tbn:ANd9GcR8diKw8Llg8gkH1aKH1BEm6EuWuIzC7STQk5NA2C4krxR_qCVdVUozsWyO,32.27,0,image_42,unknown,unknown,Shirt,unknown,Blue,L,Casual,All-Season,Mid-range,Standard,Stretch,Solid,,Blue,,False,image\image_42,image_42,casual_resort_shirt,2.0,3.0,1.0,all_season,3.0,4.0,young_adult,masculine,3.0,3.0
Men's Linen Long Sleeve Shirts Green / 5XL,http://t0.gstatic.com/shopping?q=tbn:ANd9GcRy2g2DKW1wauux5TwoWf2v9kjWGzbdzg64_POXKBnpyNjE36InKr-mNKABXQ,34.06,1,image_43,Men,Linen,Shirt,Long Sleeve,Green,5XL,Casual,Summer,Mid-range,Standard,,Solid,,Green,,False,image\image_43,image_43,smart_casual_shirt,4.0,3.0,1.0,autumn_winter,4.0,3.0,young_adult,masculine,2.0,4.0
Easygoing Textured Shirt Shorts Set Beige / L,http://t0.gstatic.com/shopping?q=tbn:ANd9GcT0NDY3bIgiCcQz52Rz9nDllbjPOZv0H1z7EXPgs0h1JdSdEXvu48LFS1b6Yg,49.64,0,image_44,unknown,unknown,Shirt & Shorts Set,unknown,Beige,L,Casual,Summer,Mid-range,Standard,Textured,Solid,,Beige,,False,image\image_44,image_44,smart_casual_shirt,4.0,3.0,1.0,autumn_winter,4.0,3.0,young_adult,masculine,2.0,4.0
Essential Muscle Fit Dress Shirt Navy blue / M,http://t0.gstatic.com/shopping?q=tbn:ANd9GcSx62cueLeroDeu2IPnV0Zb-X1VvCokHO7wo4ipAInBmeMKyXektupOX2u_jA,67.12,0,image_45,unknown,unknown,Shirt,unknown,Navy Blue,M,Casual,All-Season,Premium,Muscle,,Solid,,Navy Blue,,False,image\image_45,image_45,casual_shirt,3.0,2.0,1.0,all_season,4.0,3.0,young_adult,masculine,2.0,4.0
Casual Cotton Linen Shirt Set Navy Blue / XXL,http://t2.gstatic.com/shopping?q=tbn:ANd9GcSqU4_4O1ewXElL4j1XJ-bzubbS2FxtUdaCLA9BYT7X8JIQh_sauEbjnOMi-Q,57.03,0,image_46,unknown,Cotton,Shirt & Shorts Set,unknown,Navy Blue,XXL,Casual,All-Season,Mid-range,Standard,,Solid,,Navy Blue,,False,image\image_46,image_46,casual_shirt,3.0,2.0,2.0,all_season,3.0,3.0,young_adult,masculine,3.0,3.0
Casual Cotton and Linen Shirt Set Sky Blue / S,http://t1.gstatic.com/shopping?q=tbn:ANd9GcQsSEMfe4X0Wj6DlQU6xQBDaLhmgl0vqB9jYRU_6VusxW3rdQ_GiLEaT1FuQw,48.9,0,image_47,unknown,Cotton,Shirt & Shorts Set,unknown,Sky Blue,S,Casual,All-Season,Mid-range,Standard,,Solid,,Sky Blue,,False,image\image_47,image_47,casual_resort_shirt,3.0,4.0,1.0,spring_summer,4.0,4.0,young_adult,masculine,2.0,4.0
Men's Vintage Linen Long Sleeve Shirt Coffee / L,http://t2.gstatic.com/shopping?q=tbn:ANd9GcQhelYjXJ8xPK0gFR0057_MX7HUYAA3rexHbLy8w3AbmFbFhngo-GcQDYPkkA,37.47,0,image_48,Men,Linen,Shirt,Long Sleeve,Coffee,L,Vintage,Summer,Mid-range,Standard,,Solid,,Coffee,,False,image\image_48,image_48,casual_resort_shirt,3.0,3.0,1.0,all_season,4.0,4.0,young_adult,masculine,3.0,4.0
Casual Cotton Linen Shirt Set Navy Blue / XL,http://t2.gstatic.com/shopping?q=tbn:ANd9GcSqU4_4O1ewXElL4j1XJ-bzubbS2FxtUdaCLA9BYT7X8JIQh_sauEbjnOMi-Q,53.29,0,image_49,unknown,Cotton,Shirt & Shorts Set,unknown,Navy Blue,XL,Casual,All-Season,Mid-range,Standard,,Solid,,Navy Blue,,False,image\image_49,image_49,casual_shirt,3.0,2.0,2.0,all_season,3.0,3.0,young_adult,masculine,3.0,3.0
Subtle Muscle Fit Dress Shirt White / M,http://t2.gstatic.com/shopping?q=tbn:ANd9GcTZzPGBlWm5H--8uGLeY9K6LJIxqwI3TLq0O6UnkXGoOOxXDDGxDr6qJMGfbaI,81.5,0,image_50,unknown,unknown,Shirt,unknown,White,M,Casual,All-Season,Premium,Muscle,,Solid,,White,,False,image\image_50,image_50,casual_resort_shirt,3.0,3.0,1.0,all_season,4.0,4.0,young_adult,masculine,3.0,4.0
Men's Short Sleeve Pocket Shirt Blue / L,http://t1.gstatic.com/shopping?q=tbn:ANd9GcQOZYuWPEGY1pcuvnt_7Zdh5e_1RMsqGjtZYw1SfeUlP9N9Zgl8YWDxkKNR88s,30.54,0,image_51,Men,unknown,Shirt,Short Sleeve,Blue,L,Casual,Summer,Mid-range,Standard,,Solid,Pocket,Blue,,False,image\image_51,image_51,casual_resort_shirt,3.0,3.0,1.0,all_season,4.0,4.0,young_adult,masculine,3.0,4.0
Men's Summer Solid Color Comfortable V-neck Short-sleeved T-shirt Blue / 3XL,http://t3.gstatic.com/shopping?q=tbn:ANd9GcQ1q8TnS-AL-TwK4AYKYMAUkCQEMvGN37HF2trdcXrLploUP0eHmbS3ZufEcA,20.47,0,image_52,Men,unknown,T-Shirt,V-Neck,Blue,3XL,Casual,All-Season,Budget,Standard,,Solid,V-Neck,Blue,,False,image\image_52,image_52,casual_resort_shirt,3.0,3.0,1.0,all_season,3.0,4.0,young_adult,masculine,3.0,4.0
Men's Cotton Long Sleeve Shirt Purple / 5XL,http://t2.gstatic.com/shopping?q=tbn:ANd9GcRQLPj1zmw8xm6LRCHgOkbOUmNJlyW7wk6IlZAzPo3rleWSQjvZT1_ZXzCfOps,29.73,0,image_53,Men,Cotton,Shirt,Long Sleeve,Purple,5XL,Casual,All-Season,Budget,Standard,,Solid,,Purple,,False,image\image_53,image_53,casual_resort_shirt,3.0,3.0,1.0,all_season,4.0,4.0,young_adult,masculine,3.0,4.0
Casual Loose Fit Shirt Sets (US Only) Khaki / XL,http://t3.gstatic.com/shopping?q=tbn:ANd9GcRtB1pu07-9FmiIDQPw_Q5iyw-fvlMYkK8kaz7P1Cu9qW7RcyBSVKXm2H_k,51.26,0,image_54,unknown,unknown,Shirt & Shorts Set,unknown,Khaki,XL,Casual,All-Season,Mid-range,Loose,,Solid,,Khaki,,False,image\image_54,image_54,casual_resort_shirt,3.0,3.0,2.0,all_season,4.0,4.0,young_adult,masculine,4.0,4.0
