price,ordered,gender,material,product_type,sleeve_or_neck,size,fit,fabric_finish,pattern,details,primary_color,secondary_color,is_multicolor,formality_level,color_brightness,pattern_complexity,perceived_quality,trend_alignment,visual_uniqueness,estimated_purchase_appeal,style_category,seasonality
27.91,0,unknown,unknown,Polo,Short Sleeve,XL,Standard,,Solid,Collar,Royal Blue,,False,2.0,3.0,1.0,3.0,4.0,3.0,3.0,Casual,Summer
48.87,0,unknown,unknown,Shirt,unknown,XXXL,Standard,,Geometric,,Light Khaki,,False,3.0,3.0,2.0,4.0,3.0,2.0,4.0,Vintage,All-Season
34.63,1,unknown,unknown,Shirt,unknown,L,Standard,,Solid,,Black,,False,4.0,3.0,1.0,4.0,3.0,2.0,4.0,Casual,All-Season
34.31,0,Men,Linen,Shirt,Short Sleeve,M,Standard,,Solid,Button-Down,Pink,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,Summer
29.57,0,unknown,unknown,Shirt,unknown,L,Standard,,Solid,,Army Green,,False,3.0,3.0,1.0,4.0,4.0,3.0,4.0,Vintage,All-Season
28.41,0,unknown,unknown,Polo,Short Sleeve,L,Standard,,Solid,Collar,Navy Blue,,False,4.0,3.0,1.0,4.0,3.0,2.0,4.0,Casual,Summer
44.9,0,unknown,Linen,Shirt & Shorts Set,Short Sleeve,L,Standard,,Solid,,Blue,,False,3.0,4.0,2.0,4.0,3.0,2.0,4.0,Casual,Summer
46.73,0,unknown,unknown,Shirt,unknown,L,Standard,,Geometric,,Green,,False,3.0,3.0,2.0,4.0,4.0,4.0,4.0,Vintage,All-Season
44.99,1,unknown,unknown,Shirt & Shorts Set,unknown,XXXL,Standard,Textured,Solid,,White,,False,3.0,4.0,2.0,4.0,3.0,2.0,4.0,Casual,All-Season
29.38,1,unknown,Linen,Shirt,unknown,M,Standard,,Solid,Henley,Cream,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,Summer
35.51,1,Men,Silk,Shirt,unknown,M,Standard,Breathable/Thin,Solid,,White,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,All-Season
45.3,0,unknown,Linen,Shirt & Shorts Set,Short Sleeve,L,Standard,,Solid,,Light Blue,,False,3.0,4.0,2.0,4.0,3.0,2.0,4.0,Casual,Summer
68.53,0,unknown,unknown,Shirt & Shorts Set,unknown,L,Standard,Textured,Solid,,Navy Blue,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,All-Season
60.91,0,Men,unknown,Shirt,unknown,L,Standard,Washed,Solid,,Khaki,,False,3.0,4.0,2.0,3.0,4.0,4.0,4.0,Vintage,All-Season
33.88,0,Men,unknown,Shirt,unknown,M,Standard,,Solid,,Black,,False,4.0,3.0,2.0,4.0,3.0,2.0,4.0,Vintage,All-Season
40.1,0,Men,Linen,Shirt,Long Sleeve,M,Standard,,Solid,,Khaki,,False,3.0,3.0,2.0,4.0,4.0,4.0,4.0,Vintage,Summer
50.2,0,unknown,unknown,Shirt & Shorts Set,unknown,L,Loose,,Solid,,unknown,,False,3.0,3.0,2.0,4.0,4.0,4.0,4.0,Casual,All-Season
71.51,1,Men,Cotton,Shirt,unknown,M,Standard,,Solid,,Blue,,False,3.0,3.0,2.0,4.0,3.0,2.0,4.0,Casual,All-Season
30.59,1,Men,Cotton,T-Shirt,unknown,5XL,Standard,"Washed, Distressed",Solid,,Purple,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,All-Season
62.7,0,Men,unknown,Shirt,unknown,4XL,Standard,Washed,Solid,,Sky Blue,,False,3.0,4.0,2.0,4.0,4.0,4.0,4.0,Vintage,All-Season
61.32,0,unknown,unknown,T-Shirt & Shorts Set,unknown,L,Standard,,Solid,,Khaki,,False,4.0,3.0,1.0,4.0,3.0,2.0,4.0,Casual,Summer
50.6,1,unknown,unknown,Shirt & Shorts Set,unknown,M,Loose,,Solid,,Beige,,False,3.0,3.0,2.0,4.0,4.0,4.0,4.0,Casual,All-Season
44.49,1,unknown,unknown,Shirt & Shorts Set,unknown,M,Standard,Textured,Solid,,White,,False,3.0,4.0,2.0,4.0,3.0,2.0,4.0,Casual,All-Season
80.82,1,unknown,unknown,Shirt,unknown,M,Muscle,,Solid,,Black,,False,3.0,2.0,1.0,3.0,3.0,2.0,3.0,Casual,All-Season
39.88,1,unknown,unknown,Shirt,unknown,L,Standard,,Embroidered,,Navy Blue,,False,3.0,3.0,1.0,4.0,4.0,3.0,4.0,Vintage,All-Season
40.15,0,Men,Linen,Shirt,Long Sleeve,M,Standard,,Solid,,Coffee,,False,3.0,3.0,1.0,4.0,4.0,3.0,4.0,Vintage,Summer
41.81,1,unknown,unknown,Shirt & Shorts Set,unknown,XXXL,Standard,Textured,Solid,,Red,,False,2.0,2.0,2.0,3.0,3.0,3.0,3.0,Casual,All-Season
39.95,0,unknown,Cotton,Shirt,unknown,L,Standard,,Embroidered,,Khaki,,False,3.0,4.0,2.0,4.0,3.0,2.0,4.0,Casual,All-Season
52.97,0,unknown,Cotton,Shirt & Shorts Set,unknown,L,Standard,,Solid,,Navy Blue,,False,3.0,2.0,2.0,3.0,3.0,3.0,3.0,Casual,All-Season
38.12,0,unknown,Cotton,Shirt,unknown,L,Standard,,Solid,,Yellow,,False,3.0,4.0,1.0,3.0,4.0,3.0,4.0,Vintage,All-Season
34.49,1,unknown,unknown,Shirt,unknown,L,Standard,,Striped,Henley,Apricot,,False,4.0,4.0,2.0,4.0,3.0,2.0,4.0,Casual,All-Season
53.13,0,unknown,unknown,Shirt & Shorts Set,unknown,XL,Loose,,Solid,,White,,False,3.0,3.0,2.0,4.0,4.0,4.0,4.0,Casual,All-Season
32.79,1,Men,Linen,Shirt,Short Sleeve,L,Standard,,Solid,Button-Down,Green,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,Summer
34.45,0,unknown,Cotton,Shirt,unknown,M,Standard,,Solid,,unknown,,False,3.0,4.0,2.0,4.0,3.0,2.0,4.0,Vintage,All-Season
38.19,0,unknown,unknown,Shirt,unknown,L,Standard,,Solid,,Dark Red,,False,2.0,3.0,1.0,3.0,4.0,3.0,3.0,Vintage,All-Season
32.37,1,Men,Cotton,T-Shirt,Long Sleeve,L,Standard,,Solid,Pocket,Green,,False,3.0,3.0,1.0,4.0,4.0,2.0,4.0,Vintage,All-Season
27.19,0,unknown,unknown,Polo,Short Sleeve,XL,Standard,,Solid,Collar,Red,,False,2.0,3.0,1.0,3.0,4.0,3.0,3.0,Casual,Summer
60.09,0,Men,Corduroy,Shirt,Short Sleeve,L,Standard,,Solid,Pocket,Brown,,False,3.0,3.0,1.0,4.0,4.0,3.0,4.0,Casual,Summer
60.19,0,Men,unknown,Shirt,unknown,5XL,Standard,Washed,Solid,,Khaki,,False,3.0,4.0,2.0,3.0,4.0,4.0,4.0,Vintage,All-Season
59.67,1,Men,unknown,Shirt,unknown,L,Standard,Washed,Solid,,White,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Vintage,All-Season
50.8,0,unknown,unknown,Shirt & Shorts Set,unknown,M,Loose,,Solid,,Black,,False,3.0,3.0,2.0,4.0,4.0,4.0,4.0,Casual,All-Season
27.17,0,Men,Cotton,T-Shirt,unknown,L,Standard,"Washed, Distressed",Solid,,Blue,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,All-Season
46.0,0,unknown,unknown,Shirt,unknown,L,Standard,,Geometric,,Black,,False,3.0,3.0,2.0,4.0,3.0,2.0,4.0,Vintage,All-Season
41.48,0,Men,Linen,Shirt,Long Sleeve,M,Standard,,Solid,,Yellow,,False,3.0,3.0,1.0,3.0,4.0,3.0,4.0,Vintage,Summer
49.55,0,unknown,unknown,Shirt & Shorts Set,unknown,M,Loose,,Solid,,Purple,,False,3.0,3.0,2.0,4.0,4.0,4.0,4.0,Casual,All-Season
34.31,0,unknown,Cotton,T-Shirt & Shorts Set,unknown,M,Loose,,Solid,,Light Grey,,False,4.0,3.0,1.0,4.0,3.0,2.0,4.0,Casual,Summer
32.83,0,Men,Linen,Shirt,Short Sleeve,M,Standard,,Solid,Button-Down,Purple,,False,3.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,Summer
27.86,0,unknown,unknown,Polo,unknown,L,Standard,,Solid,Collar,Blue,,False,2.0,3.0,1.0,3.0,4.0,3.0,3.0,Casual,All-Season
35.36,0,unknown,Cotton,Shirt,unknown,L,Standard,,Solid,,Red,,False,3.0,4.0,2.0,3.0,4.0,4.0,4.0,Vintage,All-Season
63.56,1,Men,unknown,Shirt,unknown,M,Standard,Washed,Solid,,White,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Vintage,All-Season
30.35,0,unknown,Linen,Shirt,unknown,L,Standard,,Solid,,White,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,Summer
64.08,1,unknown,unknown,Shirt,unknown,L,Muscle,,Solid,,Navy Blue,,False,3.0,2.0,1.0,4.0,3.0,2.0,4.0,Casual,All-Season
33.07,0,Men,unknown,Shirt,unknown,L,Standard,,Solid,,Wine Red,,False,2.0,3.0,2.0,3.0,4.0,4.0,3.0,Vintage,All-Season
19.89,1,Men,unknown,T-Shirt,V-Neck,L,Standard,,Solid,V-Neck,White,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,All-Season
45.99,0,unknown,Linen,Shirt & Shorts Set,Short Sleeve,L,Standard,,Solid,,Khaki,,False,3.0,4.0,2.0,4.0,3.0,2.0,4.0,Casual,Summer
66.38,1,unknown,unknown,Shirt,unknown,L,Muscle,,Solid,,Black,,False,3.0,2.0,2.0,3.0,3.0,3.0,3.0,Casual,All-Season
37.31,0,Men,unknown,Shirt,unknown,L,Standard,,Solid,,Purple,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,All-Season
28.78,0,Men,unknown,Shirt,Short Sleeve,5XL,Standard,,Solid,Pocket,Blue,,False,3.0,3.0,1.0,4.0,4.0,3.0,4.0,Casual,Summer
27.09,0,unknown,unknown,Shirt,unknown,M,Standard,,Striped,,Blue,,False,3.0,4.0,2.0,4.0,3.0,2.0,4.0,Casual,All-Season
35.1,0,unknown,Cotton,Shirt,unknown,L,Standard,,Solid,Henley,Khaki,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,All-Season
40.16,0,unknown,unknown,Shirt,unknown,L,Standard,,Embroidered,,Army Green,,False,4.0,3.0,1.0,4.0,3.0,2.0,4.0,Vintage,All-Season
43.18,0,unknown,unknown,Shirt,unknown,L,Standard,Soft/Luxurious,Solid,,Black,,False,3.0,3.0,2.0,4.0,3.0,2.0,4.0,Casual,All-Season
44.4,0,unknown,unknown,Shirt,unknown,XL,Standard,Soft/Luxurious,Solid,,Green,,False,3.0,3.0,2.0,4.0,4.0,4.0,4.0,Casual,All-Season
62.29,0,Men,unknown,Shirt,unknown,2XL,Standard,Washed,Solid,,Sky Blue,,False,3.0,4.0,2.0,4.0,4.0,4.0,4.0,Vintage,All-Season
53.89,0,unknown,Cotton,Shirt & Shorts Set,unknown,L,Standard,,Solid,,Pink,,False,3.0,4.0,1.0,3.0,4.0,3.0,4.0,Casual,All-Season
42.53,0,unknown,unknown,Shirt,unknown,L,Standard,,Embroidered,,White,,False,4.0,5.0,2.0,3.0,3.0,2.0,3.0,Casual,All-Season
54.4,1,unknown,Cotton,Shirt & Shorts Set,unknown,M,Standard,,Solid,,White,,False,3.0,3.0,2.0,4.0,4.0,3.0,4.0,Casual,All-Season
34.85,1,unknown,Cotton,Shirt,unknown,L,Standard,,Solid,,Wine Red,,False,3.0,3.0,1.0,3.0,4.0,3.0,4.0,Vintage,All-Season
33.58,0,Men,Linen,Shirt,Short Sleeve,L,Standard,,Solid,Button-Down,Purple,,False,3.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,Summer
28.74,1,unknown,Linen,Shirt,unknown,L,Standard,,Solid,,Dark Red,,False,3.0,3.0,1.0,4.0,4.0,3.0,4.0,Casual,Summer
42.18,1,unknown,unknown,Shirt,unknown,L,Standard,,Embroidered,,Coffee,,False,3.0,3.0,1.0,3.0,4.0,3.0,4.0,Casual,All-Season
33.27,0,Men,Linen,Shirt,unknown,L,Standard,,Striped,,Yellow,,False,3.0,4.0,1.0,3.0,4.0,3.0,4.0,Casual,Summer
33.85,1,Men,Linen,Shirt,Short Sleeve,L,Standard,,Solid,Button-Down,Black,,False,4.0,3.0,1.0,4.0,3.0,2.0,4.0,Casual,Summer
67.62,1,Men,Cotton,Shirt,unknown,L,Standard,,Solid,,Purple,,False,4.0,3.0,2.0,4.0,3.0,2.0,4.0,Casual,All-Season
30.33,1,Men,Linen,Shirt,Long Sleeve,L,Standard,,Solid,Henley,Pink,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,Summer
55.78,0,unknown,Cotton,Shirt & Shorts Set,unknown,XXL,Standard,,Solid,,White,,False,3.0,3.0,2.0,4.0,4.0,3.0,4.0,Casual,All-Season
35.54,1,Men,Silk,Shirt,unknown,L,Standard,Breathable/Thin,Solid,,White,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,All-Season
27.37,1,Men,Cotton,T-Shirt,unknown,L,Standard,"Washed, Distressed",Solid,,Beige,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,All-Season
63.84,1,unknown,unknown,Shirt,unknown,L,Muscle,,Solid,,Light Green,,False,3.0,4.0,2.0,4.0,3.0,2.0,4.0,Casual,All-Season
60.9,1,Men,Cotton,Shirt,unknown,L,Standard,Washed,Solid,Pocket,Khaki,,False,3.0,4.0,1.0,4.0,4.0,2.0,4.0,Casual,All-Season
24.36,1,Men,Cotton,T-Shirt,unknown,S,Standard,"Stretch, Soft/Luxurious",Solid,,Black,,False,4.0,3.0,1.0,4.0,3.0,2.0,4.0,Casual,All-Season
35.49,0,Men,Linen,Shirt,unknown,M,Standard,,Solid,,Orange,,False,3.0,3.0,1.0,4.0,4.0,3.0,4.0,Casual,Summer
58.57,0,unknown,unknown,Shirt & Shorts Set,unknown,XXL,Standard,,Solid,,Cream,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,All-Season
28.35,0,unknown,unknown,Polo,Short Sleeve,L,Standard,,Solid,Collar,Green,,False,3.0,4.0,1.0,3.0,4.0,3.0,4.0,Casual,Summer
27.32,0,Men,Linen,Shirt,Long Sleeve,L,Standard,,Solid,Henley,Blue,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,Summer
50.57,0,unknown,unknown,Shirt & Shorts Set,unknown,XXL,Loose,,Solid,,Blue,,False,2.0,3.0,2.0,3.0,4.0,4.0,3.0,Casual,All-Season
27.07,0,Men,Cotton,T-Shirt,unknown,XL,Standard,"Washed, Distressed",Solid,,Blue,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,All-Season
32.61,0,unknown,unknown,Shirt,unknown,L,Standard,Stretch,Solid,,Navy Blue,,False,3.0,3.0,1.0,4.0,4.0,3.0,4.0,Casual,All-Season
41.8,1,unknown,Cotton,Shirt,unknown,L,Standard,,Solid,,unknown,,False,2.0,3.0,2.0,3.0,4.0,4.0,3.0,Casual,All-Season
37.22,1,unknown,Linen,Shirt,unknown,L,Standard,,Solid,,Light Khaki,,False,4.0,4.0,1.0,4.0,3.0,2.0,4.0,Casual,Summer
71.49,0,Men,Cotton,Shirt,unknown,L,Standard,,Solid,,Blue,,False,3.0,3.0,2.0,4.0,3.0,2.0,4.0,Casual,All-Season
58.05,0,Men,unknown,Shirt,unknown,M,Standard,Washed,Solid,,Blue,,False,3.0,3.0,2.0,4.0,4.0,4.0,4.0,Vintage,All-Season
28.99,1,unknown,Cotton,Shirt,unknown,5XL,Standard,,Striped,,Blue,,False,3.0,4.0,2.0,4.0,3.0,2.0,4.0,Casual,All-Season
42.75,0,unknown,Linen,Shirt & Shorts Set,Short Sleeve,M,Standard,,Solid,,Light Blue,,False,3.0,4.0,2.0,4.0,3.0,2.0,4.0,Casual,Summer
