val_index,title,price,actual_ordered,purchase_probability,predicted_ordered,purchase_score,recommendation,rationale
10,Vintage Embroidered Western Cowboy Shirt (US Only) Army Green / L,40.16,0,0.33,0,4,SKIP,"The title contains 'vintage' which has a below-average purchase rate of 0.262. The price of $40.16 is close to the average for non-purchased items ($41.35). Without stronger positive keywords like 'flannel' or 'long sleeve', this product falls below the purchase threshold."
11,Vintage Embroidered Western Cowboy Shirt (US Only) Light Blue / L,40.64,0,0.31,0,4,SKIP,"The product contains the keyword 'vintage' which has a below-average purchase rate of 0.262. The price of $40.64 is very close to the average price of non-purchased items ($41.35), and there are no high-performing keywords like 'flannel' or 'long sleeve' that would boost purchase likelihood."
12,Men's Vintage Linen Long Sleeve Shirt Khaki / M,40.1,0,0.42,0,5,SKIP,"This product contains keywords 'vintage' (0.262 rate), 'linen' (0.278 rate), and 'long sleeve' (0.407 rate). While 'long sleeve' has above-average performance, 'vintage' and 'linen' pull the probability down. The price of $40.10 is slightly below the average for purchased items, providing marginal positive influence, but the combined keyword signals suggest below-threshold purchase likelihood."
13,Essential Muscle Fit Dress Shirt Burgundy / XL,63.24,1,0.22,0,3,SKIP,"This product has no keywords matching higher-performing categories like flannel or long sleeve. The price of $63.24 is significantly above the average purchased price of $40.85, which negatively impacts purchase likelihood. Without any favorable keyword indicators and with premium pricing, this product is unlikely to convert."
14,Casual Cotton Linen Shirt Set Navy Blue / L,52.97,0,0.24,0,3,SKIP,"This product combines multiple low-performing keywords: 'casual' (0.269), 'cotton' (0.286), 'linen' (0.278), and 'set' (0.264), all below the overall purchase rate of 31.8%. The price of $52.97 is significantly above both the average purchased ($40.85) and non-purchased ($41.35) prices, further reducing purchase likelihood."
15,Men's Cotton Long Sleeve Shirt Purple / L,30.24,1,0.52,1,6,SELECT,"This product contains two favorable keywords: 'cotton' (28.6% purchase rate) and 'long sleeve' (40.7% purchase rate), with long sleeve being notably above the overall average of 31.8%. The price of $30.24 is below the average purchased price of $40.85, which is a positive indicator. The combination of strong long sleeve performance and competitive pricing suggests moderate purchase likelihood."
16,Men's Comfort Vintage Cotton Long Sleeve Basic T-Shirt With Chest Pocket Green / L,32.37,1,0.42,0,5,SKIP,"This product contains multiple keywords with mixed signals: 'vintage' (0.262), 'cotton' (0.286), and 'long sleeve' (0.407). While 'long sleeve' has a strong positive purchase rate, the 'vintage' and 'cotton' keywords pull the probability down. The price at $32.37 is below average for both purchased and non-purchased items, which is slightly favorable, but the combined keyword effect suggests moderate purchase likelihood below the 0.50 threshold."
17,Men's Vintage Linen Long Sleeve Shirt Pink / L,38.64,0,0.42,0,5,SKIP,"The product contains keywords 'vintage' (0.262), 'linen' (0.278), and 'long sleeve' (0.407). While 'long sleeve' has a moderately strong purchase rate, the 'vintage' and 'linen' keywords pull the average down. The price of $38.64 is slightly below the purchased average of $40.85, which is marginally favorable, but the combined keyword signals suggest below-threshold performance."
18,Men's Vintage Premium Washed Shirt Army Green / L,66.11,1,0.22,0,3,SKIP,"The title contains 'vintage' which has a low purchase rate of 0.262. The price of $66.11 is significantly higher than both the average purchased ($40.85) and non-purchased ($41.35) product prices, suggesting price resistance. No high-performing keywords like 'flannel' or 'long sleeve' are present to offset these negative factors."
19,Men's Vintage Linen Long Sleeve Shirt Yellow / M,41.48,0,0.35,0,4,SKIP,"This product contains keywords 'vintage' (0.262 rate), 'linen' (0.278 rate), and 'long sleeve' (0.407 rate). While long sleeve shows above-average performance, vintage and linen drag down the overall probability. The price of $41.48 is slightly above the average for purchased items ($40.85), further reducing purchase likelihood."
20,Short Sleeve Collarless Golf Polo Shirts (US Only) Navy Blue / L,28.41,0,0.25,0,3,SKIP,"The title contains 'short sleeve' which has a low purchase rate of 0.2 in historical data. While the price of $28.41 is below the average for both purchased and non-purchased items, the keyword pattern strongly suggests this product category underperforms. No positive keywords like 'flannel' or 'long sleeve' are present to offset this."
21,Casual Graphic Cotton Linen Shirt PAT2 / L,28.64,1,0.32,0,4,SKIP,"This product contains keywords 'casual' (0.269), 'cotton' (0.286), and 'linen' (0.278), all of which have below-average purchase rates compared to the overall 31.8%. While the price of $28.64 is below the average for both purchased and non-purchased items, the combination of multiple low-performing keywords suggests weak demand. The weighted average of these keyword rates hovers around 27-28%, making this a borderline skip."
22,Effortless Comfort Textured Shirt Set Navy Blue / L,68.53,0,0.22,0,3,SKIP,"This product contains the keyword 'set' which has a low purchase rate of 26.4%. The price of $68.53 is significantly higher than both the average purchased ($40.85) and not purchased ($41.35) prices, suggesting price resistance. The combination of a low-performing category keyword and above-average pricing indicates poor purchase likelihood."
23,Men's Casual Texture Lapel Comfortable Short-sleeved Polo Shirt Khaki / 5XL,31.08,1,0.23,0,3,SKIP,"This product contains 'casual' keyword which has a below-average purchase rate of 26.9%, and 'short sleeve' which has the lowest purchase rate at 20%. While the price of $31.08 is below the average purchase price of $40.85, the combination of weak keyword signals suggests low purchase likelihood."
24,Vintage-Inspired Geometric Knit Shirt Green / L,46.73,0,0.28,0,3,SKIP,"The title contains 'vintage' which has a low purchase rate of 26.2% in historical data. The price of $46.73 is above the average price for both purchased ($40.85) and non-purchased ($41.35) items, which typically correlates with lower purchase likelihood. No high-performing keywords like 'flannel' or 'long sleeve' are present to offset these negative indicators."
25,Casual Loose Fit Shirt Sets (US Only) Black / M,50.8,0,0.24,0,3,SKIP,"This product contains the keyword 'casual' (purchase rate 0.269) and 'set' (purchase rate 0.264), both below average. The price of $50.80 is notably higher than the average purchased price of $40.85, which historically correlates with lower purchase likelihood. The combination of low-performing keywords and above-average pricing suggests poor conversion potential."
26,Casual Linen Blend Guayabera Shirt (US Only) White / M,30.65,1,0.32,0,4,SKIP,"This product contains keywords 'casual' (26.9% purchase rate) and 'linen' (27.8% purchase rate), both of which perform below the overall average of 31.8%. While the price of $30.65 is below the average for purchased items ($40.85), the weak keyword indicators suggest lower purchase likelihood. The combination of underperforming category keywords does not justify selection despite the attractive price point."
27,Minimal Comfort Polo Shirt Shorts Set Khaki / XXXL,61.28,0,0.22,0,3,SKIP,"This product contains the keyword 'set' which has a low purchase rate of 0.264. The price of $61.28 is significantly higher than both the average purchased ($40.85) and not purchased ($41.35) prices, suggesting price resistance. The combination of a low-performing keyword and above-average pricing indicates poor purchase likelihood."
28,Classic Casual Button Down Cotton Linen Shirt (Us Only) Purple / L,35.79,0,0.32,0,4,SKIP,"This product contains keywords 'casual' (0.269), 'cotton' (0.286), and 'linen' (0.278), all of which have below-average purchase rates compared to the overall 31.8%. While the price of $35.79 is below the average for both purchased and non-purchased items, the combination of multiple low-performing keywords suggests modest appeal. No high-performing keywords like 'flannel' or 'long sleeve' are present to boost purchase likelihood."
29,Casual Loose Fit Shirt Sets (US Only) Khaki / L,50.78,0,0.24,0,3,SKIP,"This product contains keywords 'casual' (0.269 rate) and 'set' (0.264 rate), both of which have below-average purchase rates. The price of $50.78 is significantly above the average price for purchased items ($40.85), which further reduces purchase likelihood. The combination of weak keyword signals and higher price point suggests poor sales potential."
30,Stylish Slant Placket Tied Shirt Apricot / L,36.29,0,0.35,0,4,SKIP,"The product title contains no high-performing keywords from the historical data (no flannel, long sleeve, cotton, linen, etc.). The price of $36.29 is below average, which slightly favors purchase, but without any keyword indicators associated with higher purchase rates, the prediction remains below the baseline 31.8% rate. No strong purchase signals are present."
31,Men's Cotton Long Sleeve Shirt Khaki / L,30.68,1,0.42,0,5,SKIP,"The product contains 'cotton' (purchase rate 0.286) and 'long sleeve' (purchase rate 0.407) keywords. While 'long sleeve' shows above-average performance and the price of $30.68 is below the average for both purchased and non-purchased items, the combined keyword signals suggest moderate but not strong purchase likelihood. The cotton keyword's lower rate pulls down the overall prediction."
32,Chictango Pink Corduroy Shirt Set Pink / L,47.61,0,0.28,0,3,SKIP,"This product contains the keyword 'set' which has a low purchase rate of 0.264. The price of $47.61 is above both the average purchased ($40.85) and not purchased ($41.35) prices, suggesting reduced likelihood of purchase. No high-performing keywords like 'flannel' or 'long sleeve' are present to offset these negative factors."
33,Cotton Linen Style Stripe Shirts Blue / M,30.41,0,0.35,0,4,SKIP,"The product contains keywords 'cotton' (0.286) and 'linen' (0.278), both with below-average purchase rates compared to the overall 31.8%. While the price of $30.41 is below the average for both purchased and non-purchased items, which is slightly favorable, the keyword indicators suggest modest consumer interest in this category."
34,Essential Muscle Fit Dress Shirt Navy blue / L,64.08,1,0.25,0,3,SKIP,"This product at $64.08 is significantly above the average price of both purchased ($40.85) and non-purchased ($41.35) items, suggesting price resistance. The title contains no keywords from the historical data that show strong purchase rates (like 'flannel' at 0.667 or 'long sleeve' at 0.407). Without any positive keyword signals and with an above-average price point, the purchase likelihood is low."
35,Men's Premium Washed Cotton Pocket Shirt Khaki / L,60.9,1,0.24,0,3,SKIP,"This product contains 'cotton' keyword with only 28.6% purchase rate. The price of $60.90 is significantly higher than both the average purchased ($40.85) and not purchased ($41.35) price points, suggesting price resistance. No high-performing keywords like 'flannel' or 'long sleeve' are present to offset the premium pricing."
36,Casual Cotton Linen Shirt Set White / XL,55.14,0,0.26,0,3,SKIP,"This product contains keywords with below-average purchase rates: 'casual' (0.269), 'cotton' (0.286), 'linen' (0.278), and 'set' (0.264). The price of $55.14 is significantly higher than the average price of purchased items ($40.85), which further reduces purchase likelihood. The combination of weak keyword signals and above-average pricing suggests poor performance."
37,Men's Summer Linen Shirt Purple / 5XL,35.71,0,0.32,0,4,SKIP,"The product contains 'linen' keyword which has a below-average purchase rate of 27.8%. While the price ($35.71) is below the average for purchased items ($40.85), the summer/linen category historically underperforms. No strong positive indicators like 'flannel' or 'long sleeve' are present to boost purchase likelihood."
38,Casual Wrinkle Free Stretch Shirt (US Only) Navy Blue / L,32.61,0,0.32,0,4,SKIP,"The product contains the keyword 'casual' which has a below-average purchase rate of 26.9%. While the price of $32.61 is below the average for both purchased and non-purchased items (which slightly favors purchase), the casual keyword association pulls the probability close to the baseline. Without stronger positive indicators like 'flannel' or 'long sleeve', this product does not meet the 50% threshold."
39,Modern Soft Cable Knit Shirt Black / L,43.18,0,0.32,0,4,SKIP,"This product lacks keywords with high purchase rates (like flannel at 0.667 or long sleeve at 0.407). The price of $43.18 is slightly above the average for purchased items ($40.85), and the title contains no keywords from the historical data that indicate strong purchase intent. Based on the baseline purchase rate of 31.8% and absence of positive signals, this product is unlikely to be selected."
40,Men's Summer Linen Shirt Purple / L,37.8,0,0.32,0,4,SKIP,"The product contains 'linen' keyword which has a below-average purchase rate of 27.8%. While the price of $37.80 is slightly below the average purchased price of $40.85, the linen category historically underperforms the overall purchase rate of 31.8%. No strong positive indicators like 'flannel' or 'long sleeve' are present to boost confidence."
41,Casual Cotton Linen Shirt Set White / XXXL,56.58,0,0.24,0,3,SKIP,"This product contains multiple low-performing keywords: 'casual' (0.269), 'cotton' (0.286), 'linen' (0.278), and 'set' (0.264), all below the baseline 31.8% purchase rate. The price of $56.58 is significantly higher than both the average purchased ($40.85) and non-purchased ($41.35) prices, further reducing purchase likelihood. The combination of weak keyword signals and above-average pricing suggests poor conversion potential."
42,Cotton Beach Button Down Long Sleeve Shirt (US Only) White / L,45.52,0,0.34,0,4,SKIP,"This product contains keywords 'cotton' (0.286 purchase rate) and 'long sleeve' (0.407 purchase rate), which provides mixed signals. However, the price of $45.52 is above the average for purchased items ($40.85), and the 'beach' casual context suggests a lower-converting casual style. The combined factors suggest below-threshold performance."
43,Embroidered Cowboy Button Down Shirt (US Only) White / L,42.53,0,0.35,0,4,SKIP,"This embroidered button down shirt at $42.53 is slightly above the average price for purchased items ($40.85). The title contains no high-performing keywords from the historical data (no flannel, long sleeve, or cotton mentions). Without strong keyword indicators and with a price point slightly unfavorable, the purchase probability falls below the baseline rate."
44,Casual Lcose Fit Shirt Sets (US Only) Clear Blue / L,53.45,0,0.22,0,3,SKIP,"This product contains keywords 'casual' (0.269 rate) and 'set' (0.264 rate), both of which have below-average purchase rates. The price of $53.45 is significantly above the average purchased price of $40.85, which historically correlates with lower purchase likelihood. The combination of weak keyword indicators and above-average pricing suggests poor performance."
45,Men's Summer Solid Color Comfortable V-neck Short-sleeved T-shirt Red / L,20.6,0,0.35,0,4,SKIP,"The product contains 'short sleeve' keyword which has a low purchase rate of 20% in historical data. While the price of $20.6 is significantly below the average purchased price of $40.85 which could be favorable, the short sleeve indicator strongly suggests lower purchase likelihood. No other high-performing keywords like 'flannel' or 'long sleeve' are present to offset this."
46,Men's Linen Resort Casual Button-Down Everyday Short Sleeve Shirt Pink / M,34.31,0,0.28,0,3,SKIP,"This product contains keywords with below-average purchase rates: 'linen' (0.278), 'casual' (0.269), and notably 'short sleeve' (0.2) which has the lowest purchase rate in the dataset. While the price of $34.31 is below the average for both purchased and non-purchased items, the combination of low-performing keywords suggests weak demand."
47,Men's Washed Distressed Cotton Daily Short-sleeved T-shirt Beige / L,27.37,1,0.32,0,4,SKIP,"This product contains 'cotton' (purchase rate 0.286) and 'short sleeve' (purchase rate 0.2), both of which are below the overall purchase rate of 31.8%. While the price of $27.37 is below the average for both purchased and not purchased items, the weak keyword signals suggest limited appeal. The combined keyword indicators lean toward underperformance."
48,Men's Luxurious Touch Stretch Cotton T-Shirt Black / L,24.68,0,0.35,0,4,SKIP,"The product contains 'cotton' keyword which has a purchase rate of 28.6%, slightly below the overall average of 31.8%. However, the price of $24.68 is significantly below both the average purchased ($40.85) and not purchased ($41.35) prices, which could indicate either a value opportunity or quality concerns. Without stronger positive keyword signals like 'flannel' or 'long sleeve', the prediction leans toward not purchasing."
49,Casual Loose Fit Shirt Sets (US Only) Light Gr een / L,50.2,0,0.22,0,3,SKIP,"This product contains 'casual' (0.269 rate) and 'set' (0.264 rate) keywords, both below the overall purchase rate of 31.8%. The price of $50.20 is significantly above the average purchased price of $40.85, further reducing purchase likelihood. The combination of underperforming keywords and higher price point suggests low conversion potential."
50,Long Sleeve Button Down Flannel Shirt (US Only) Army Green / L,29.46,0,0.72,1,7,SELECT,"This product combines two high-performing keywords: 'flannel' (66.7% purchase rate) and 'long sleeve' (40.7% purchase rate), both well above the overall 31.8% baseline. The price of $29.46 is significantly below the average purchased price of $40.85, making it attractively priced for buyers."
51,Men's Cotton printed shirt Blue / L,71.49,0,0.22,0,3,SKIP,"The product contains 'cotton' which has a below-average purchase rate of 28.6%. At $71.49, this price is significantly higher than both the average purchased ($40.85) and non-purchased ($41.35) price points, making it a poor value proposition. The combination of a lower-performing keyword and premium pricing suggests low purchase likelihood."
52,Men's Linen Resort Casual Button-Down Everyday Short Sleeve Shirt Army / L,33.0,1,0.28,0,3,SKIP,"This product contains keywords with below-average purchase rates: 'linen' (0.278), 'casual' (0.269), and notably 'short sleeve' (0.200), which has the lowest purchase rate among tracked keywords. While the price of $33.0 is below the average for both purchased and non-purchased items, the combination of weak-performing keywords suggests low purchase likelihood."
53,Classic Wrinkle-Free Dress Shirt (US Only) Brown / L,28.78,0,0.45,0,5,SKIP,"This dress shirt lacks keywords with strong purchase indicators from the historical data. The price at $28.78 is below average, which slightly favors purchase, but without high-performing keywords like 'flannel' or 'long sleeve' explicitly mentioned, the probability remains moderate. The term 'dress shirt' doesn't appear in the keyword data, suggesting baseline or uncertain performance."
54,Cotton Linen Style Henley Shirt (US Only) Denim Blue / L,35.31,0,0.35,0,4,SKIP,"The product contains keywords 'cotton' (0.286 purchase rate) and 'linen' (0.278 purchase rate), both below the overall average of 31.8%. While the price of $35.31 is below average for both purchased and non-purchased items which is slightly favorable, the combined weak keyword indicators suggest this product will likely underperform. No strong positive signals like 'flannel' or 'long sleeve' are present."
55,Men's Linen Resort Casual Button-Down Everyday Short Sleeve Shirt Khaki / 5XL,33.41,0,0.28,0,3,SKIP,"This product contains multiple low-performing keywords: 'linen' (0.278), 'casual' (0.269), and 'short sleeve' (0.2), which all have purchase rates below the overall average of 31.8%. While the price of $33.41 is below the average for both purchased and non-purchased items, the combination of weak keyword signals suggests low purchase likelihood."
56,Cotton Hooded Shirt Shorts Sets Blue / L,51.41,0,0.26,0,3,SKIP,"This product contains keywords 'cotton' (0.286 purchase rate) and 'set' (0.264 purchase rate), both below the overall average of 31.8%. The price of $51.41 is notably higher than both the average purchased ($40.85) and non-purchased ($41.35) price points, further reducing purchase likelihood."
57,Men's Vintage Velvet Shirt Wine Red / 3XL,36.22,1,0.32,0,4,SKIP,"The title contains 'vintage' which has a below-average purchase rate of 0.262. While the price of $36.22 is slightly below the average purchased price of $40.85, the vintage keyword association suggests lower consumer interest. No high-performing keywords like 'flannel' or 'long sleeve' are present to boost appeal."
58,Muscle Fit Shirts (US Only) Navy Blue / L,34.18,1,0.35,0,4,SKIP,"This product lacks keywords associated with higher purchase rates (flannel, long sleeve). The title contains no matching keywords from the historical data patterns. While the price of $34.18 is below average for both purchased and non-purchased items, the baseline purchase rate of 31.8% and absence of positive keyword indicators suggests moderate-to-low purchase likelihood."
59,Vintage Embroidered Western Cowboy Shirt (US Only) Black & Red / L,40.58,0,0.31,0,4,SKIP,"The title contains 'vintage' which has a below-average purchase rate of 0.262. The price of $40.58 is close to the average for non-purchased items ($41.35). Without stronger positive keywords like 'flannel' or 'long sleeve', this product is likely to underperform the baseline purchase rate."
60,Men's Washed Distressed Cotton Daily Short-sleeved T-shirt Purple / L,29.18,1,0.32,0,4,SKIP,"This product contains 'cotton' (purchase rate 0.286) and 'short sleeve' (purchase rate 0.2), both below the overall average of 31.8%. While the price of $29.18 is below the average for both purchased and non-purchased items which is favorable, the combination of underperforming keywords suggests below-average purchase likelihood."
61,Leisure Textured Shirt Set Dark Green / L,43.98,0,0.26,0,3,SKIP,"This product contains the keyword 'set' which has a low purchase rate of 26.4% in historical data. The price of $43.98 is above the average for both purchased ($40.85) and non-purchased ($41.35) items, further reducing likelihood of purchase. No high-performing keywords like 'flannel' or 'long sleeve' are present to offset these factors."
62,Men's Vintage Linen Long Sleeve Shirt Navy Blue / L,41.68,0,0.35,0,4,SKIP,"This product contains keywords 'vintage' (0.262 rate), 'linen' (0.278 rate), and 'long sleeve' (0.407 rate). While 'long sleeve' shows above-average performance, the 'vintage' and 'linen' keywords pull down the overall probability. The price of $41.68 is slightly above the average for purchased items ($40.85), which is a minor negative signal."
63,Men's Linen Resort Casual Button-Down Everyday Short Sleeve Shirt Blue / L,32.33,1,0.26,0,3,SKIP,"This product contains multiple low-performing keywords: 'linen' (0.278), 'casual' (0.269), and 'short sleeve' (0.2). The 'short sleeve' keyword has a particularly weak purchase rate at only 20%. While the price of $32.33 is below average for both purchased and non-purchased items, the combination of underperforming keywords suggests weak demand."
64,Casual Loose Fit Shirt Sets (US Only) Beige / L,50.04,0,0.24,0,3,SKIP,"This product contains keywords 'casual' (0.269 rate) and 'set' (0.264 rate), both of which have below-average purchase rates. At $50.04, the price is notably higher than the average for both purchased ($40.85) and non-purchased ($41.35) items, which historically correlates with lower purchase likelihood."
65,Men's Linen Long Sleeve Shirts Purple / L,34.96,0,0.42,0,5,SKIP,"This product contains 'linen' (purchase rate 0.278) and 'long sleeve' (purchase rate 0.407) keywords. While 'long sleeve' performs above average, the 'linen' keyword underperforms the baseline 31.8% rate. The price of $34.96 is below the average for both purchased and non-purchased items, which is slightly favorable, but the combined keyword signals don't push this above the 50% threshold."
66,Men's Summer Solid Color Comfortable V-neck Short-sleeved T-shirt White / L,19.89,1,0.28,0,3,SKIP,"The product contains 'short sleeve' which has a low purchase rate of 20% in historical data. While the price of $19.89 is well below the average purchase price of $40.85, the short sleeve keyword association significantly drags down the probability. No other high-performing keywords like 'flannel' or 'long sleeve' are present to offset this."
